City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,castillos,-34.1667,-53.8333,24.05,74,100,2.11,UY,1701548620
243,hawaiian paradise park,19.5933,-154.9731,26.69,85,20,3.6,US,1701548621
244,xinyuan,37.3,99.0,-9.15,45,9,2.34,CN,1701548621
245,changping,40.2186,116.2197,-8.2,36,0,2.17,CN,1701548622
246,beira,-19.8436,34.8389,23.05,83,0,4.91,MZ,1701548622
247,mandera,3.9366,41.867,29.34,40,90,2.43,KE,1701548623
248,schollnach,48.75,13.1833,-3.0,97,100,3.48,DE,1701548623
249,prado,-17.3411,-39.2208,26.64,73,0,6.44,BR,1701548623
250,saipan,15.1355,145.701,27.39,78,75,8.23,MP,1701548624
251,ranchi,23.35,85.3333,18.06,82,40,0.0,IN,1701548624
252,papatowai,-46.5619,169.4708,9.59,90,99,6.29,NZ,1701548625
253,tura,25.5198,90.2201,17.41,81,53,1.76,IN,1701548625
254,klaksvik,62.2266,-6.589,1.51,71,100,5.18,FO,1701548626
255,nha trang,12.25,109.1833,22.0,93,100,3.19,VN,1701548626
256,arraial do cabo,-22.9661,-42.0278,28.98,74,0,6.17,BR,1701548627
257,makurazaki,31.2667,130.3167,10.73,65,91,5.12,JP,1701548628
258,slavsk,55.0425,21.677,-5.74,98,100,1.67,RU,1701548629
259,pechora,65.1472,57.2244,-14.52,96,100,1.79,RU,1701548420
260,gamay,12.3854,125.2979,25.49,91,74,3.39,PH,1701548630
261,timbuktu,16.7735,-3.0074,28.83,14,60,4.53,ML,1701548630
262,ghanzi,-21.5667,21.7833,30.42,18,90,3.94,BW,1701548631
263,laguna,38.421,-121.4238,15.72,83,100,3.6,US,1701548631
264,acarau,-2.8856,-40.12,28.16,66,16,7.17,BR,1701548632
265,obock,12.25,43.0833,20.93,73,61,7.62,DJ,1701548632
266,whitehorse,60.7161,-135.0538,-10.57,92,100,1.54,CA,1701548469
267,portland,45.5234,-122.6762,11.02,94,100,3.58,US,1701548095
268,mount pearl,47.5166,-52.7813,3.8,93,75,3.09,CA,1701548635
269,sisimiut,66.9395,-53.6735,-4.27,73,99,3.39,GL,1701548635
270,grand baie,-20.0182,57.5802,23.58,96,100,4.37,MU,1701548635
271,forster,-32.1667,152.5167,19.05,100,2,1.95,AU,1701548435
272,port mathurin,-19.6833,63.4167,25.62,79,100,5.58,MU,1701548636
273,baiao,-2.7906,-49.6717,31.46,54,74,2.89,BR,1701548637
274,mahina,-17.5065,-149.489,30.87,66,75,5.14,PF,1701548638
275,malvan,16.0667,73.4667,25.39,74,6,2.78,IN,1701548639
276,sanctuary point,-35.1114,150.629,18.19,91,19,2.38,AU,1701548639
277,brookings,44.3114,-96.7984,4.5,58,0,5.66,US,1701548640
278,kharp,66.8014,65.8081,-16.06,94,100,4.03,RU,1701548640
279,dhangadhi,28.7079,80.5961,16.68,50,0,1.96,NP,1701548640
280,aioun,16.6614,-9.6149,29.49,12,100,4.3,MR,1701548641
281,kuressaare,58.2481,22.5039,-3.88,97,100,2.57,EE,1701548642
282,gondar,12.6,37.4667,17.85,44,98,1.87,ET,1701548643
283,la passe,45.5549,-0.8967,0.13,83,10,2.46,FR,1701548643
284,buka,40.8108,69.1986,9.91,45,1,1.61,UZ,1701548644
285,garoowe,8.4054,48.4845,23.92,48,100,7.33,SO,1701548644
286,ialibu,-6.2821,143.9935,14.24,97,100,0.67,PG,1701548645
287,loreto,22.2667,-101.9667,19.83,38,100,4.22,MX,1701548645
288,wailua homesteads,22.0669,-159.378,26.53,81,0,2.06,US,1701548646
289,oppdal,62.5943,9.6912,-14.44,90,28,3.99,NO,1701548647
290,piterka,50.6803,47.4454,-2.24,83,95,3.07,RU,1701548422
291,jackson,42.4165,-122.8345,10.58,95,100,0.0,US,1701548573
292,fort st. john,56.2499,-120.8529,-10.06,85,75,2.06,CA,1701548648
293,mount gambier,-37.8333,140.7667,9.78,92,10,1.32,AU,1701548649
294,olavarria,-36.8927,-60.3225,30.43,18,10,5.94,AR,1701548649
295,pocone,-16.2567,-56.6228,38.41,26,82,2.93,BR,1701548650
296,kyshtovka,56.555,76.6271,-7.59,96,100,3.13,RU,1701548650
297,fortuna,40.5982,-124.1573,12.97,97,75,5.66,US,1701548651
298,nemuro,43.3236,145.575,1.91,57,8,5.2,JP,1701548652
299,fort mcmurray,56.7268,-111.381,-6.23,79,0,1.54,CA,1701548652
300,natal,-5.795,-35.2094,28.36,69,40,5.66,BR,1701548653
301,myshkin,57.7897,38.4545,-14.54,97,94,1.79,RU,1701548653
302,san carlos,9.6612,-68.5827,33.21,40,37,1.05,VE,1701548654
303,puerto deseado,-47.7503,-65.8938,8.65,52,80,2.24,AR,1701548654
304,tazovsky,67.4667,78.7,-27.26,94,6,4.5,RU,1701548655
305,qarazhal,48.0078,70.7903,2.69,57,100,8.87,KZ,1701548655
306,sudogda,55.9539,40.8629,-12.93,100,93,1.43,RU,1701548656
307,hobyo,5.3505,48.5268,26.47,72,100,7.79,SO,1701548656
308,sanchor,24.7553,71.7722,22.09,46,61,4.25,IN,1701548657
309,baoding,38.8511,115.4903,-0.92,32,0,2.18,CN,1701548658
310,petropavlovsk-kamchatsky,53.0452,158.6483,-8.08,81,75,7.6,RU,1701548455
311,vanimo,-2.6741,141.3028,25.08,88,100,1.72,PG,1701548658
312,lakhipur,26.0299,90.3041,18.18,81,26,1.73,IN,1701548659
313,colares,38.7992,-9.4469,12.64,82,11,2.68,PT,1701548659
314,guerrero negro,27.9769,-114.0611,20.68,43,0,1.7,MX,1701548660
315,abalak,58.1286,68.5944,-11.47,96,100,4.38,RU,1701548661
